AVMT,Road_Name,FREQUENCY,COUNT_crashreport_corrected_XYTableToPoint_Person_ID
0.9239,SOUTHLAWN LA,2,2
0.9271,,1,1
0.9271,CAPITAL BELTWAY,4,4
0.9271,ROCKVILLE PIKE,1,1
0.9379,CAPITAL BELTWAY,2,2
0.9448,MONTROSE RD,4,4
0.9582,16TH ST,4,4
0.9582,GEORGIA AVE,6,6
0.9582,SECOND AVE,1,1
0.9582,SPRING ST,13,13
0.9696,DECOVERLY DR,2,2
0.9696,DIAMONDBACK DR,4,4
0.9696,KEY WEST AVE,8,8
0.9722,FATHER HURLEY BLVD,1,1
0.9728,,2,2
0.9728,CHAPMAN AVE,1,1
0.9728,OLD GEORGETOWN RD,9,9
0.9728,ROCKVILLE PIKE,4,4
0.9773,,2,2
0.9773,TRAVILAH RD,4,4
0.9823,,1,1
0.9823,MARINELLI RD,9,9
0.9823,NEBEL ST,1,1
0.9823,ROCKVILLE PIKE,5,5
0.983,,1,1
0.983,COLESVILLE RD,4,4
0.983,DALE DR,6,6
0.983,DEERFIELD AVE,1,1
0.983,PINEY BRANCH RD,6,6
0.983,SLIGO CREEK PKENWORTHY,1,1
0.983,WAYNE AVE,4,4
0.9843,HUNTINGTON PKENWORTHY,3,3
0.9936,,1,1
0.9936,ASPEN HILL RD,28,28
0.9968,CAPITAL BELTWAY,1,1
0.9968,ROCKVILLE PIKE,8,8
1.007,GEORGIA AVE,11,11
1.0103,NEW HAMPSHIRE AVE,3,3
1.0217,,1,1
1.0217,GEORGIA AVE,8,8
1.0217,MUNCASTER MILL RD,1,1
1.0217,NORBECK RD,4,4
1.0273,CLOPPER RD,10,10
1.0273,WARING STATION RD,10,10
1.0308,SEVEN LOCKS RD,3,3
1.0371,CLARKSBURG RD,2,2
1.0371,CLOPPER RD,1,1
1.0371,DARNESTOWN RD,2,2
1.0371,WHITE GROUNDS RD,5,5
1.0385,GEORGIA AVE,10,10
1.0385,HATHAWAY DR,7,7
1.0385,LAYHILL RD,5,5
1.0486,CARROLL AVE,4,4
1.0486,FLOWER AVE,13,13
1.0486,HOUSTON AVE,1,1
1.0487,GLEN MILL RD,4,4
1.0487,VEIRS DR,1,1
1.0489,,2,2
1.0489,FIRST ST,2,2
1.0489,GEORGIA AVE,4,4
1.0489,GLENALLAN AVE,15,15
1.0489,LAYHILL RD,4,4
1.0513,BAUER DR,1,1
1.0513,MARIANNA DR,2,2
1.0513,PARKLAND DR,1,1
1.0539,BROADWOOD DR,9,9
1.0539,CRAWFORD DR,2,2
1.0539,GRANDIN AVE,2,2
1.0539,MIDWAY AVE,2,2
1.0539,VEIRS MILL RD,8,8
1.0603,GREENTREE RD,1,1
1.062,POSTOAK RD,4,4
1.0644,,3,3
1.0644,E WAYNE AVE,12,12
1.0644,E WAYNE AVENUE,3,3
1.0644,FLOWER AVE,4,4
1.0644,MANCHESTER RD,2,2
1.0644,WAYNE AVE,1,1
1.0676,,3,3
1.0676,CRABBS BRANCH WAY,10,10
1.0676,SHADY GROVE RD,15,15
1.0738,BEECH AVE,5,5
1.0738,OLD GEORGETOWN RD,7,7
1.0785,BRIGGS CHANEY RD,4,4
1.0785,OLD COLUMBIA PIKE,2,2
1.0838,COLUMBIA PIKE,22,22
1.0838,MARLOW RD,2,2
1.0838,MUSGROVE RD,4,4
1.0838,OLD COLUMBIA PIKE,4,4
1.0921,,3,3
1.0921,CAMERON ST,9,9
1.0921,FENTON ST,3,3
1.0921,FOREST GLEN RD,2,2
1.0921,GEORGIA AVE,5,5
1.0921,SPRING ST,4,4
1.0927,NEWPORT MILL RD,12,12
1.0927,VEIRS MILL RD,7,7
1.1006,EISENHOWER MEMORIAL HWY,5,5
1.1006,MIDCOUNTY HWY,2,2
1.1006,QUINCE ORCHARD RD,1,1
1.1006,RAMP 1 FR RAMP 8 (FR IS270) TO MD 124 EB,2,2
1.1006,SAYBROOKE OAKS BLVD,1,1
1.105,COMPRINT CT,1,1
1.105,RAMP 10 FR RAMP 9 TO SHADY GROVE RD NB,1,1
1.105,RAMP 11 FR SHADY GROVE RD SB TO RAMP 4,2,2
1.105,RAMP 9 FR IS 370 EB TO SHADY GROVE RD SB,2,2
1.105,SHADY GROVE RD,5,5
1.1147,,1,1
1.1147,CONNECTICUT AVE,4,4
1.1147,FRANKLIN ST,4,4
1.1147,THORNWOOD RD,1,1
1.1237,,1,1
1.1237,EDMONSTON DR,2,2
1.1237,ROCKVILLE PIKE,17,17
1.1237,W EDMONSTON DR,15,15
1.1237,WOOTTON PKENWORTHY,10,10
1.1354,BLAIR RD,7,7
1.1361,,1,1
1.1361,CALVERTON BLVD,1,1
1.1361,GALWAY DR,2,2
1.137,CAPITAL BELTWAY,3,3
1.137,CONNECTICUT AVE,2,2
1.137,RAMP 4 FR MD 185 NB TO IS 495 EB,1,1
1.1399,,1,1
1.1399,COLUMBIA PIKE,25,25
1.1399,OLD COLUMBIA PIKE,4,4
1.1399,STEWART LA,16,16
1.1453,RAMP 4 FR IS 270 NB TO MIDDLEBROOK RD EB,2,2
1.174,BILTMORE DR,1,1
1.174,CAPITAL BELTWAY,2,2
1.174,E FRANKLIN AVE,8,8
1.174,FRANKLIN AVE,12,12
1.174,GARWOOD ST,3,3
1.174,UNISSANVERSITY BLVD E,10,10
1.1767,EISENHOWER MEMORIAL HWY,5,5
1.1767,RAMP 1 FR IS 270 NB TO MD 28 WB,2,2
1.1767,W MONTGOMERY AVE,6,6
1.1834,BRADLEY BLVD,3,3
1.1834,RIVER RD,4,4
1.1954,BRADLEY BLVD,2,2
1.1954,GLENBROOK RD,2,2
1.1954,OLD GEORGETOWN RD,2,2
1.1954,WILSON LA,10,10
1.2027,,1,1
1.2027,ASPEN HILL RD,18,18
1.2027,CONNECTICUT AVE,16,16
1.2027,GRENOBLE DR,1,1
1.2055,FATHER HURLEY BLVD,4,4
1.2055,RAMP 6 FR FATHER HURLEY BLVD TO IS270 SB,2,2
1.2055,RAMP 7 FR FATHER HURLEY BLVD TO IS270 SB,2,2
1.2355,BAUER DR,8,8
1.2355,FRANKFORT DR,1,1
1.2355,MARIANNA DR,2,2
1.2579,CEDAR LA,2,2
1.2579,CONNECTICUT AVE,7,7
1.2653,CONNECTICUT AVE,9,9
1.2653,ELBY ST,2,2
1.2653,WELLER RD,12,12
1.2715,DAWSON FARM RD,5,5
1.2715,FATHER HURLEY BLVD,2,2
1.2715,GERMANTOWN RD,4,4
1.2715,GREAT SENECA HWY,8,8
1.2743,GLEN RD,22,22
1.2765,CAPITAL BELTWAY,2,2
1.2765,COLESVILLE RD,3,3
1.2765,FOREST GLEN RD,2,2
1.2765,HOLLYWOOD AVE,1,1
1.2849,CEDAR ST,6,6
1.2849,PINEY BRANCH RD,2,2
1.2849,WAYNE AVE,4,4
1.3137,BELLS MILL RD,7,7
1.3172,PEACH ORCHARD RD,6,6
1.3172,SPENCERVILLE RD,2,2
1.32,BURLINGTON AVE,10,10
1.32,GEORGIA AVE,8,8
1.32,PHILADELPHIA AVE,9,9
1.3253,CINNAMON DR,2,2
1.3253,CLOPPER RD,10,10
1.3253,GREAT SENECA HWY,1,1
1.3253,MATENY RD,17,17
1.3271,,1,1
1.3271,NO NAME,1,1
1.3374,BRONSON DR,1,1
1.3374,PERSIMMON TREE RD,7,7
1.3374,RIVER RD,2,2
1.346,ASPEN HILL RD,5,5
1.346,CHESTERFIELD RD,1,1
1.346,MARIANNA DR,2,2
1.346,PARKLAND DR,23,23
1.346,RICHARD MONTGOMERY DR,2,2
1.346,VEIRS MILL RD,2,2
1.3661,,3,3
1.3661,E DIAMOND AVE,2,2
1.3661,N SUMMIT AVE,2,2
1.3661,S FREDERICK RD,9,9
1.3661,S SUMMIT AVE,26,26
1.3661,W DIAMOND AVE,2,2
1.3708,ARORA HILLS DR,2,2
1.3708,LITACURAE SENECA PARKENWORTHAY,1,1
1.3708,LITACURAE SENECA PKENWORTHY,12,12
1.3708,NEWCUT RD,3,3
1.3708,RIDGE RD,2,2
1.3708,SNOWDEN FARM PARKENWORTHAY,2,2
1.3708,SNOWDEN FARM PKENWORTHY,5,5
1.3792,COLESVILLE RD,11,11
1.3792,SPRING ST,7,7
1.3959,STEDWICK RD,2,2
1.3959,WATKINS MILL RD,9,9
1.3963,,1,1
1.3963,BARNESVILLE RD,10,10
1.3978,,2,2
1.3978,EDGEMOOR LA,6,6
1.3978,OLD GEORGETOWN RD,4,4
1.3978,WOODMONT AVE,15,15
1.4013,CAPITAL BELTWAY,2,2
1.4013,EISENHOWER MEMORIAL HWY,3,3
1.4013,ROCKVILLE PIKE,3,3
1.4168,ALBERTI DR,1,1
1.4168,INWOOD AVE,2,2
1.4168,SWEEPSTAKES RD,7,7
1.4168,UNISSANVERSITY BLVD W,8,8
1.4168,WOODFIELD RD,2,2
1.4265,,6,6
1.4265,CENTURY BLVD,17,17
1.4265,CRYSTAL ROCK DR,2,2
1.4265,GERMANTOWN RD,2,2
1.4265,MUNCASTER MILL RD,2,2
1.4265,PINNACLE DR,4,4
1.4458,EISENHOWER MEMORIAL HWY,7,7
1.4458,RAMP 1 FR IS 270 NB TO MD 117 WB,7,7
1.4458,W DIAMOND AVE,6,6
1.4527,,1,1
1.4527,E GUDE DR,7,7
1.4527,LOFSTRAND LA,2,2
1.4527,SOUTHLAWN LA,12,12
1.4566,,3,3
1.4566,8600 FLOWER AVE,1,1
1.4566,BOSTON AVE,1,1
1.4566,FLOWER AVE,25,25
1.4566,PINEY BRANCH RD,6,6
1.4574,PLAINFINISSANTIELD LA,1,1
1.4574,RIVER RD,2,2
1.4574,SENECA RD,17,17
1.4635,FOREST GLEN RD,2,2
1.4635,SEMINARY RD,10,10
1.4635,WARREN ST,1,1
1.4692,,2,2
1.4692,GEORGIA AVE,6,6
1.4692,REEDIE DR,3,3
1.4692,VEIRS MILL RD,31,31
1.4711,COLESVILLE RD,17,17
1.4711,DALE DR,5,5
1.4711,SCHUYLER RD,2,2
1.4861,RAMP 6 FR MD 28 EB TO IS 270 SB,1,1
1.4861,W MONTGOMERY AVE,10,10
1.4943,FREDERICK RD,2,2
1.4943,OLD HUNDRED RD,15,15
1.5073,FALLS RD,2,2
1.5073,WOODEN BRIDGE RD,2,2
1.512,,4,4
1.512,GEORGIA AVE,1,1
1.512,REEDIE DR,4,4
1.512,UNISSANVERSITY BLVD W,8,8
1.512,VEIRS MILL RD,58,58
1.5122,,2,2
1.5122,DEWEY RD,8,8
1.5122,E GUDE DR,2,2
1.5122,E JEFFERSON ST,2,2
1.5122,RANDOLPH RD,9,9
1.5125,SCOTT DR,1,1
1.5156,GELDING LA,2,2
1.5156,OLNEY LAYTONSVILLE RD,4,4
1.5156,QUEEN ELIZABETH DR,6,6
1.5157,,2,2
1.5157,COLUMBIA PIKE,6,6
1.5157,LOCKENWORTHOOD DR,16,16
1.5157,SCHINDLER DR,1,1
1.5279,,1,1
1.5279,BATTERY LA,4,4
1.5279,OLD GEORGETOWN RD,3,3
1.5279,RUGBY AVE,1,1
1.5279,WILSON LA,2,2
1.5279,WISCONSIN AVE,2,2
1.5279,WOODMONT AVE,4,4
1.5308,BRIGHTVIEW ST,1,1
1.5308,DALEWOOD DR,18,18
1.5308,GEORGIA AVE,10,10
1.5308,HATHAWAY DR,8,8
1.5308,RANDOLPH RD,2,2
1.5308,VEIRS MILL RD,4,4
1.5354,,3,3
1.5354,BALLINGER DR,2,2
1.5354,BRIGGS CHANEY RD,15,15
1.5354,ROBEY RD,10,10
1.5354,ROBEY ROAD,1,1
1.5522,MACARTHUR BLVD,1,1
1.5522,SEVEN LOCKS RD,5,5
1.5588,,3,3
1.5588,N STONESTREET AVE,18,18
1.5617,,4,4
1.5617,EXECUTIVE BLVD,5,5
1.5617,NISSANCHOLSON LA,2,2
1.5617,ROCKVILLE PIKE,6,6
1.5617,WOODGLEN DR,2,2
1.598,EISENHOWER MEMORIAL HWY,6,6
1.598,RAMP 4 FR RAMP 1 (FR IS270) TO IS 370 EB,1,1
1.598,SAM EIG HWY,1,1
1.6009,,2,2
1.6009,HUNGERFORD DR,10,10
1.6009,NELSON ST,1,1
1.6009,PARK RD,9,9
1.6052,MACARTHUR BLVD,4,4
1.6052,OVERLEA RD,1,1
1.6052,SANGAMORE RD,2,2
1.6103,FALLS RD,2,2
1.6103,GLEN RD,22,22
1.6125,,6,6
1.6125,11TH AVE,2,2
1.6125,CARROLL AVE,46,46
1.6125,PINEY BRANCH RD,4,4
1.6125,UNISSANVERSITY BLVD E,2,2
1.6125,UNISSANVERSITY BLVD E SERV RD,2,2
1.6242,,7,7
1.6242,AIRCRAFT DR,8,8
1.6242,CENTURY BLVD,6,6
1.6242,CRYSTAL ROCK DR,4,4
1.6242,GERMANTOWN RD,5,5
1.6242,WOODFIELD RD,2,2
1.6262,,4,4
1.6262,ASPEN HILL RD,31,31
1.6262,CONNECTICUT AVE,2,2
1.6262,GEORGIA AVE,16,16
1.6458,,5,5
1.6458,POOKS HILL RD,2,2
1.6458,RAMP 6 FR IS 495 EB TO MD 355 SB,2,2
1.6458,ROCKVILLE PIKE,10,10
1.6671,SKYLARK RD,6,6
1.692,EISENHOWER MEMORIAL HWY,2,2
1.692,OLD HUNDRED RD,19,19
1.7002,,1,1
1.7002,FRANKLIN ST,1,1
1.7002,PARKENWORTHOOD DR,2,2
1.7029,,8,8
1.7029,FENTON ST,9,9
1.7029,GEORGIA AVE,10,10
1.7029,GEORGIA AVENUE,2,2
1.7029,GROVE ST,1,1
1.7029,MAYOR LA,2,2
1.7029,MISSISSIPPI AVE,1,1
1.7029,PINEY BRANCH RD,2,2
1.7029,SLIGO AVE,30,30
1.7029,THAYER AVE,2,2
1.7093,KINGS VALLEY RD,4,4
1.7093,RIDGE RD,3,3
1.7329,16TH ST,44,44
1.7329,COLESVILLE RD,12,12
1.7341,HURLEY AVE,2,2
1.7341,W MONTGOMERY AVE,4,4
1.7458,,2,2
1.7458,EDMONSTON DR,23,23
1.7458,LEWIS AVE,2,2
1.7458,N WASHINGTON ST,2,2
1.7458,ROCKVILLE PIKE,7,7
1.7458,VEIRS MILL RD,12,12
1.7526,,6,6
1.7526,CARROLL AVE,22,22
1.7526,NEW HAMPSHIRE AVE,2,2
1.7526,WESTMORELAND AVE,2,2
1.7547,CHESHIRE DR,3,3
1.7547,OLD GEORGETOWN RD,11,11
1.7721,MONTROSE RD,4,4
1.7721,SEVEN LOCKS RD,13,13
1.7776,BRADLEY BLVD,2,2
1.7776,RIVER RD,14,14
1.79,GREAT SENECA HWY,11,11
1.79,LONGDRAFT RD,14,14
1.79,SIOUX LA,3,3
1.8243,,2,2
1.8243,CLARKSBURG RD,14,14
1.8243,DEMOCRACY LA,1,1
1.8243,EISENHOWER MEMORIAL HWY,1,1
1.8243,FREDERICK RD,8,8
1.8243,GATEWAY CENTER DR,7,7
1.8243,JOHNSON DR,2,2
1.8243,NORBECK RD,2,2
1.8243,ROLLINS AVE,3,3
1.8243,STRINGTOWN RD,14,14
1.8315,E JEFFERSON ST,12,12
1.8315,MONTROSE PKENWORTHY,24,24
1.8357,CEDAR LA,7,7
1.8357,LOCUST AVE,1,1
1.8357,OAKMONT AVE,1,1
1.8357,OLD GEORGETOWN RD,9,9
1.8414,FIRST ST,6,6
1.8414,ROCKVILLE PIKE,7,7
1.8414,WOOTTON PKENWORTHY,5,5
1.8499,,6,6
1.8499,GRUBB RD,2,2
1.8499,LYTTONSVILLE PL,2,2
1.8499,LYTTONSVILLE RD,14,14
1.8506,,1,1
1.8506,CONTOUR RD,2,2
1.8506,GOSHEN RD,3,3
1.8506,ODENDHAL AVE,12,12
1.8572,GOSHEN RD,1,1
1.8572,MONTGOMERY VILLAGE AVE,2,2
1.8572,SNOUFFERS SCHOOL RD,3,3
1.8572,WIGHTMAN RD,26,26
1.8589,CHRISTOPHER AVE,4,4
1.8589,FREDERICK RD,2,2
1.8589,MONTGOMERY VILLAGE AVE,17,17
1.8589,RUSSELL AVE,37,37
1.8589,STEDWICK RD,2,2
1.8589,WATKINS MILL RD,2,2
1.8879,,6,6
1.8879,E MONTGOMERY AVE AT COURTHOUSE SQ,1,1
1.8879,FLEET ST,3,3
1.8879,MARYLAND AVE,1,1
1.8879,MONROE ST,1,1
1.8879,N WASHINGTON ST,2,2
1.8921,,1,1
1.8921,RIVER RD,5,5
1.8921,WHITTIER BLVD,14,14
1.9019,CONNECTICUT AVE,8,8
1.9019,DENFELD AVE,12,12
1.9019,WEXFORD DR,2,2
1.9125,CONNECTICUT AVE,6,6
1.9125,JONES BRIDGE RD,8,8
1.9226,CONNECTICUT AVE,2,2
1.9226,GEORGIA AVE,13,13
1.9226,GOODHILL RD,2,2
1.9226,W MONTGOMERY AVE,2,2
1.9226,WELLER RD,29,29
1.9326,RESEARCH BLVD,11,11
1.9326,SHADY GROVE RD,19,19
1.9326,W GUDE DR,5,5
1.9359,RIVER RD,5,5
1.9359,SELKIRK DR,2,2
1.9359,WILSON LA,9,9
1.9456,GREAT SENECA HWY,10,10
1.9456,KEY WEST AVE,2,2
1.9472,FREDERICK RD,1,1
1.9472,MANOR CREST LANE,2,2
1.9472,WEST OLD BALTIMORE RD,4,4
1.9502,PERSIMMON TREE RD,2,2
1.951,BLUNT RD,2,2
1.951,FREDERICK RD,13,13
1.951,GERMANTOWN RD,5,5
1.951,MIDDLEBROOK RD,4,4
1.951,SCENERY DR,24,24
1.9665,,1,1
1.9665,CONGRESSIONAL LA,19,19
1.9665,ROCKVILLE PIKE,13,13
1.9685,,3,3
1.9685,COLESVILLE RD,54,54
1.9685,GEORGIA AVE,16,16
1.9685,WAYNE AVE,2,2
1.9718,,1,1
1.9718,GAITHER RD,14,14
1.9718,LONGHORN CRESENT,2,2
1.9718,PICCARD DR,1,1
1.9718,SHADY GROVE RD,10,10
1.9718,VEIRS MILL RD,2,2
1.9794,,3,3
1.9794,FREDERICK RD,40,40
1.9794,OBSERVATION DR,2,2
1.9794,SHAKESPEARE BLVD,15,15
1.9891,COLUMBIA PIKE,10,10
1.9891,E RANDOLPH RD,10,10
1.9891,OLD COLUMBIA PIKE,13,13
1.9917,GEORGIA AVE,4,4
1.9917,PRINCE PHILIP DR,5,5
2.0038,,2,2
2.0038,FRIENDSHIP BLVD,2,2
2.0038,N PARK AVE,1,1
2.0038,RIVER RD,5,5
2.0038,SHOEMAKER FARM LA,2,2
2.0038,WILLARD AVE,21,21
2.0038,WISCONSIN AVE,8,8
2.0054,,1,1
2.0054,GOLDSBORO RD,12,12
2.0108,,3,3
2.0108,BEALL AVE #2,12,12
2.0108,E MONTGOMERY AVE AT COURTHOUSE SQ,1,1
2.0108,FREDERICK RD,2,2
2.0108,HUNGERFORD DR,11,11
2.0108,N WASHINGTON ST,5,5
2.0256,,1,1
2.0256,BEALLSVILLE RD,7,7
2.0256,DARNESTOWN RD,4,4
2.0299,COLSTON DR,1,1
2.0299,EAST WEST HWY,17,17
2.0299,GRUBB RD,9,9
2.0299,ROSS RD,2,2
2.0353,COLESVILLE RD,4,4
2.0353,COLUMBIA BLVD,2,2
2.0353,DALE DR,22,22
2.0382,GOLD MINE RD,5,5
2.0382,NEW HAMPSHIRE AVE,6,6
2.0382,REDLAND RD,2,2
2.0387,FIELDS RD,4,4
2.0387,OMEGA DR,9,9
2.0641,EAST WEST HWY,6,6
2.0641,EAST WEST HWY (W/B COUPLET),22,22
2.0641,MONTGOMERY AVE,4,4
2.065,GERMANTOWN RD,5,5
2.065,GREAT SENECA HWY,5,5
2.065,RICHTER FARM RD,23,23
2.113,ARCOLA AVE,18,18
2.1175,COMUS RD,6,6
2.1175,FREDERICK RD,2,2
2.1175,OLD HUNDRED RD,4,4
2.1249,,1,1
2.1249,FLOWER AVE,1,1
2.1249,JACKSON AVE,2,2
2.1249,NEW HAMPSHIRE AVE,8,8
2.1249,SLIGO CREEK PKENWORTHY,9,9
2.1257,,1,1
2.1257,OLNEY SANDY SPRING RD,2,2
2.1257,PRINCE PHILIP DR,6,6
2.1257,SPARTAN RD,6,6
2.1462,SNOWDEN FARM PARKENWORTHAY,2,2
2.1462,SNOWDEN FARM PKENWORTHY,21,21
2.1462,SYCAMORE FARM DR,1,1
2.1532,ASPEN HILL RD,26,26
2.1532,VEIRS MILL RD,5,5
2.1557,,2,2
2.1557,DIAMONDBACK DR,14,14
2.1557,GOLD KETACURAE DR,1,1
2.1557,MUDDY BRANCH RD,18,18
2.1557,SAM EIG HWY,2,2
2.1557,STORY DR,3,3
2.1665,CRABB AVE,1,1
2.1665,LINCOLN ST,1,1
2.1665,N HORNERS LA,19,19
2.1665,PARK RD,1,1
2.1752,,6,6
2.1752,FREDERICK RD,10,10
2.1752,ODENDHAL AVE,58,58
2.1752,RUSSELL AVE,4,4
2.1951,LAMBERTON DR,9,9
2.2201,,4,4
2.2201,COLLEGE PKENWORTHY,11,11
2.2201,HUNGERFORD DR,18,18
2.2201,NORBECK RD,2,2
2.2201,PRINCETON PL,1,1
2.2201,ROCKVILLE PIKE,2,2
2.2406,BRANDERMILL DR,4,4
2.2406,MIDDLEBROOK RD,22,22
2.2572,BEL PRE RD,1,1
2.2572,HOMECREST RD,6,6
2.2577,,1,1
2.2577,MONTROSE RD,10,10
2.2577,TOWER OAKS BLVD,24,24
2.2577,WOOTTON PKENWORTHY,22,22
2.2588,NEW HAMPSHIRE AVE,9,9
2.2588,NOACURAEY RD,26,26
2.2606,,2,2
2.2606,EAST WEST HWY,5,5
2.2606,MONTGOMERY AVE,24,24
2.2606,MONTGOMERY LA,2,2
2.2606,WAVERLY ST,2,2
2.2606,WISCONSIN AVE,2,2
2.2776,DEMOCRACY BLVD,4,4
2.2776,GAINSBOROUGH RD,2,2
2.2776,MONTROSE PKENWORTHY,2,2
2.2799,EDNOR RD,1,1
2.2799,LAYHILL RD,2,2
2.2799,NORBECK RD,4,4
2.2799,NORWOOD RD,14,14
2.3019,BROOKVILLE RD,7,7
2.3019,EAST WEST HWY,2,2
2.3019,LELAND ST,2,2
2.3019,THORNAPPLE ST,1,1
2.3183,,1,1
2.3183,ARCOLA AVE,19,19
2.3183,GEORGIA AVE,34,34
2.3183,GRANDVIEW AVE,2,2
2.3455,GEORGIA AVE,14,14
2.3455,HINES RD,2,2
2.3505,E DIAMOND AVE,2,2
2.3505,RAILROAD ST,16,16
2.3505,WASHINGTON GROVE LA,2,2
2.3737,,8,8
2.3737,DAWSON AVE,6,6
2.3737,E MIDDLE LA,2,2
2.3737,FIRST ST,3,3
2.3737,HUNGERFORD DR,16,16
2.3737,N WASHINGTON ST,26,26
2.3737,ROLLINS AVE,2,2
2.3737,TWINBROOK PKENWORTHY,2,2
2.3974,BOWIE MILL RD,14,14
2.3974,CASHELL RD,1,1
2.3974,OLNEY LAYTONSVILLE RD,2,2
2.4033,,12,12
2.4033,ARLINGTON RD,24,24
2.4033,BRADLEY BLVD,7,7
2.4033,GEORGIA AVE,2,2
2.4033,HAMPDEN LA,1,1
2.4033,OLD GEORGETOWN RD,2,2
2.4044,DARNESTOWN RD,5,5
2.4044,QUINCE ORCHARD RD,2,2
2.4103,,6,6
2.4103,GEORGIA AVE,21,21
2.4103,HEWITT AVE,29,29
2.4163,LAYHILL RD,4,4
2.4163,LONGMEAD CROSSING DR,13,13
2.4241,,2,2
2.4241,BRIGGS CHANEY RD,60,60
2.4241,CASACURAE BLVD,2,2
2.4241,ROBEY RD,2,2
2.4331,,1,1
2.4331,CHRISTOPHER AVE,17,17
2.4331,FREDERICK RD,2,2
2.4331,LOST KNISSANFE RD,2,2
2.4331,MIDCOUNTY HWY,2,2
2.4331,MONTGOMERY VILLAGE AVE,11,11
2.4691,495 OL X31,2,2
2.4691,CAPITAL BELTWAY,3,3
2.4723,,4,4
2.4723,FREDERICK RD,2,2
2.4723,GIRARD ST,2,2
2.4723,GOSHEN RD,2,2
2.4723,N SUMMIT AVE,46,46
2.4838,,2,2
2.4838,PICCARD DR,14,14
2.4838,REDLAND BLVD,2,2
2.4838,W GUDE DR,4,4
2.4839,,2,2
2.4839,DEMOCRACY BLVD,2,2
2.4839,WESACURAAKE DR,12,12
2.4964,ARCOLA AVE,21,21
2.4964,UNISSANVERSITY BLVD W,12,12
2.5114,BEALLSVILLE RD,6,6
2.5164,,1,1
2.5164,FLOWER HILL WAY,20,20
2.5164,HONEYLOCUST CIR,2,2
2.5164,SNOUFFERS SCHOOL RD,8,8
2.5164,WOODFIELD RD,18,18
2.5226,,7,7
2.5226,E JEFFERSON ST,3,3
2.5226,ROCKVILLE PIKE,25,25
2.5226,ROLLINS AVE,34,34
2.5255,,1,1
2.5255,GAINSBOROUGH RD,9,9
2.5255,SEVEN LOCKS RD,5,5
2.5266,DARNESTOWN RD,2,2
2.5266,QUERY MILL RD,2,2
2.5266,TURKEY FOOT RD,3,3
2.5291,GEORGIA AVE,4,4
2.5291,OLNEY SANDY SPRING RD,3,3
2.5291,PRINCE PHILIP DR,9,9
2.5438,CLOPPER RD,2,2
2.5438,GREAT SENECA HWY,10,10
2.5438,MATENY RD,15,15
2.5521,CENTERWAY RD,34,34
2.5521,GOSHEN RD,4,4
2.5521,SNOUFFERS SCHOOL RD,8,8
2.5672,E JEFFERSON ST,10,10
2.5672,E MIDDLE LA,2,2
2.5672,E MONTGOMERY AVE,1,1
